,matched_id,country,p_val_played,dev_played,prob_played,p_val_won,dev_won,prob_won,color,num_players
253382,B10-6791-2707,MX,0.8032858043516312,-0.15708985417579885,0.00042647635124548134,0.009892259091124692,1.3934713690402314,1.0,w,9410
97729,A60-2613-1194,KZ,0.9999642122242156,-0.17417493469589282,0.00023118291646042157,0.005184997280810313,1.35088798058248,1.0,b,4139
253885,B42-2026-8283,AR,0.9050775199169085,-0.2155794609799999,0.00020537032174615367,0.006508784285681213,1.3193646982160454,1.0,b,10792
126441,C20-1812-3331,CO,0.879974398753285,-0.14097277647960638,0.0026857169398145104,0.0006939221563956111,1.2728857244350795,0.8500000000000001,w,5838
242641,E06-7759-1171,DZ,0.09388485240740052,-0.32893600886064,0.0002538327733058697,0.0069553682291883835,1.2531645515860146,1.0,w,2275
367763,C02-3411-1931,RO,0.9996295300307589,-0.16094814048700498,0.00028221587929750237,0.008660982557238392,1.2459726978448777,0.9375,w,2050
367599,C02-3190-2372,SY,0.3112585881329881,-0.22645967802321212,0.00039539303579948486,0.0012777162738987343,1.2411701218250348,0.9523809523809523,b,2460
156973,C32-2362-3389,DZ,0.2296736401127153,-0.2812227372181983,0.0007686243466483882,0.002962432457742331,1.1742340159130136,0.945054945054945,w,2275
241071,A12-2717-9085,IN,0.9079623418818905,-0.05441203956010863,0.000875988679993162,0.006170309818188211,1.1670469484918224,1.0,b,39339
250047,C31-2565-2312,BY,0.9446179807889864,-0.117949962388567,0.0009134493062603537,0.009676829374844216,1.1529680367435255,1.0,w,2144
131409,E12-1575-1179,MY,0.8036443623039623,-0.11665118784292917,0.0011156600620407372,0.0072875784785712515,1.1276315443799896,1.0,w,4401
125712,B20-1982-6291,CU,0.09287507903015368,-0.31560695267402067,0.0005534263569841377,0.005002293945582512,1.0962554101816901,0.8,w,2060
338067,C63-2729-3318,KZ,0.6514333897599115,-0.04206310693932549,0.0016951882822068161,0.0028666098109237743,1.0887301621227876,0.9166666666666666,b,4139
249389,D00-2536-2651,HU,0.9122478978974792,0.22255521523380045,0.005422624746289111,0.0026791587796630347,1.075364887866854,0.875,w,2095
124026,A03-1787-1142,HU,0.7950540639004267,-0.10010755215235649,0.00226251958916629,0.00840701387411076,1.0742977479595717,0.7543478260869565,w,2095
219800,C42-3088-2633,ZA,0.9790331412696714,0.06709668150481246,0.0023273644813643635,0.008135238739052114,1.0536912436844834,0.9666666666666668,w,4230
344151,B12-2833-1771,EG,0.8434260986930643,-0.19770727504426977,0.00041043850628215666,0.0033968314761628816,1.0191091427934558,0.9,w,7784
123987,A03-1787-1142,DZ,0.7951554505630829,-0.1656798478399402,0.0015411477787250546,0.00871040760358926,1.0119030114060767,0.7272727272727273,w,2275
138155,A83-1629-2818,PH,0.6655031540607079,-0.2775975632478149,0.00047454807079069,0.0025175211504218603,1.0027428356722883,1.0,w,12225
200730,A81-2200-2467,AZ,0.9379234297096556,0.14431356011741178,0.0033985337413480234,0.005334515427278743,0.9906309318470816,0.8444444444444444,b,3352
43376,A15-3305-2605,MY,0.9989306265028544,-0.020597344153829467,0.0024187994272853106,0.009371357479051755,0.9852069413633215,0.91875,w,4401
329138,C40-1720-3170,BE,0.8783115759514133,-0.15152518434542378,0.0006037410072358822,0.007035040158676694,0.9815628068522938,0.8400000000000001,b,2618
