,matched_id,country,p_val_played,dev_played,prob_played,p_val_won,dev_won,prob_won,color,num_players
2628,C51-3008-7935,AU,1.4393754304009987e-09,0.8295922248684655,0.007377300905354423,0.1040799961001172,0.23329513374089111,0.583612101931296,w,3116
386799,D09-2583-2630,LK,0.0036945383284949624,0.8221588279943797,0.003937489198238001,0.9837464728572016,0.2423270501084354,0.5,b,3526
63163,C60-8650-2783,LK,0.0002315415223906644,0.8131313121687713,0.010615490894390692,0.5225239605625073,0.01807030812555453,0.43830898795811074,b,3526
130408,B00-2546-1192,BE,0.009217444279900195,0.7927664887394109,0.005444241433281131,0.2961359259198169,0.3933775128911777,0.735064935064935,w,2618
385224,C00-2340-1416,ID,0.0038606905918403423,0.7813887133234219,0.004438110423009886,0.39605541238766623,0.060958187974515875,0.44081959706959706,b,7395
87200,C29-8490-1098,RO,0.006396003531153908,0.734654224832329,0.005935836819286397,0.6088042254406254,-0.2828271199777417,0.31146046935520616,w,2050
239850,C37-1491-2540,LK,0.007918693282009295,0.7250347539290619,0.0044097900898075115,0.7616077476669008,-0.3777696607642684,0.2857142857142857,b,3526
282729,C33-2242-5903,MY,0.0023238803747581555,0.7234677470042706,0.0048441611968567415,0.9797652888613185,0.2354725800026736,0.5909090909090909,b,4401
389754,B00-1627-3068,DE,0.0006803560899295081,0.720291688794169,0.0037452237879090685,0.8548006040263023,0.016187443255284192,0.46560632350106035,b,27390
287823,C02-2455-3067,MY,0.000122286512278231,0.7072419573035973,0.009623700836844246,0.8958694153550418,0.08260697157038521,0.4990642871268348,b,4401
345700,C31-2626-2854,CH,0.00849043463950161,0.7038100885470745,0.007723869408030243,0.9837476361487029,0.03328750039938385,0.5338312299894009,b,2948
380573,D11-1107-2919,GR,5.18253438483651e-06,0.6992073234505952,0.00816867482443325,0.13830141405697322,-0.2853126779353966,0.37333676758024575,w,3735
226987,C55-8500-2018,MY,0.0029448413542070284,0.6899070532727695,0.004308446953250131,0.9999642429953555,-0.018429293466756792,0.42857142857142855,b,4401
10737,C03-9879-2160,AZ,0.00032602163818541783,0.6872683390175789,0.006637141578528816,0.994311936398708,-0.10326923440661412,0.41744588744588745,b,3352
41592,C71-2054-3036,TR,0.0015835981876743525,0.6797805553452332,0.004313923901523187,0.9959431698511565,0.058775120189608336,0.5357142857142857,w,28738
381673,C69-5047-4664,LK,0.0011776477484318978,0.6795193157198062,0.006105953587585228,0.5472957432660887,-0.5484834381420789,0.25,b,3526
136424,C23-1064-3285,LK,4.580978405646773e-64,0.6753026005868515,0.029328531324974164,8.314949557772893e-07,0.1098168488524816,0.45063239230929114,b,3526
239829,C37-1491-2540,AZ,0.0001881197577052754,0.6731519408157394,0.004201636111811307,0.9938571656870806,-0.07986355992805334,0.4264204545454545,b,3352
104745,B28-7021-3133,ID,0.00236578165789033,0.6422683287142075,0.004453621170383516,0.7187807336456266,0.17184282878534893,0.5153404067197171,b,7395
375878,A37-6025-2451,AM,0.007111401215760119,0.6416710010788041,0.003717265567591596,0.9339644774046856,0.2453393177775643,0.5694444444444444,b,2069
224874,E00-2706-1620,FR,8.5086118705077e-06,0.6352184249037485,0.007909512567259667,0.10844232665228959,-0.0534201401969954,0.47620372027422364,w,13847
326030,B32-3138-3130,SY,0.0002486652870679733,0.6123382567879663,0.003605360870568391,0.9551072628051109,0.1570240623662493,0.4967948717948718,b,2460
320676,A00-1254-7113,TR,8.677617887355667e-06,0.6116093970031552,0.009633584814491409,0.9808757124338143,-0.0036415117429427443,0.39197235513024986,w,28738
46825,C40-2724-1405,TR,3.379059250632425e-111,0.6061373499650134,0.0162065699631864,3.750197753477736e-40,0.07553101260293703,0.5069695829389974,b,28738
368816,D92-1619-1055,LK,0.0035271112095169865,0.6004632595216284,0.005429128483001506,0.6688642003477809,0.24166226674107222,0.5611111111111111,w,3526
299040,A40-1342-2431,MY,0.0003872971628200439,0.598659003700239,0.004665860660951305,0.9999999999550584,0.07337681361046894,0.4642857142857143,w,4401
201081,B21-2962-2259,VN,5.534656484759822e-07,0.5965762078163582,0.0062788325490160295,0.4545159861669359,0.23389543181794428,0.5543223443223444,b,2810
94929,A84-2270-2022,ES,7.981252346637978e-61,0.589646196156161,0.010400911257412285,1.2660988658005703e-06,-0.029079067843120053,0.433954989496829,b,9997
275484,A05-1645-2427,BY,0.0019192713310583465,0.589532452216963,0.006728966089435455,0.07244108754302585,0.34698571706034054,0.5830853174603174,b,2144
400835,E76-9578-3053,SY,0.0037514048180599417,0.5888181178850969,0.002708238256185963,0.07524404060074531,-0.9793359610621172,0.0,b,2460
222865,A25-3132-2269,VN,0.009007645418020238,0.5820327464634999,0.005183775114213166,0.6892167386863707,-0.1838827318292694,0.36666666666666664,b,2810
343395,C25-3257-2983,BE,2.629473710030051e-07,0.5748552805383739,0.008528076184308505,0.40932982444378474,-0.08079174949437336,0.631466585395056,w,2618
87378,C35-1756-2203,AT,0.008644250794041075,0.5669646023748924,0.005428600031741514,0.2767031262728693,-0.21283388865667,0.37370393447119643,b,3172
343288,C25-3257-2983,FI,2.7946929795501063e-13,0.5664742166909615,0.008454360039789555,0.06649232070923251,-0.10602160863649636,0.6229624242110265,w,2135
343268,C25-3257-2983,AU,9.242536600823659e-13,0.5645334156358357,0.008437289608915034,0.2952436514554889,-0.12390405725624105,0.616934835052848,w,3116
216815,A53-1618-8122,MY,0.00255642046369202,0.5542856367988376,0.005185451972275875,0.1981038852728335,0.30678222765284224,0.5748917748917749,b,4401
30698,C00-7619-2933,NL,1.90642239869546e-09,0.5535123898621244,0.009258688667770795,0.10516074760674438,0.21540853341652974,0.5934578707454616,w,4286
393562,B06-8501-2019,PH,0.0013348870621271447,0.5434711841024109,0.002701124161676384,0.5278114785563611,0.44424184680362777,0.6666666666666666,b,12225
117258,D05-9967-2137,ES,6.858471731568083e-84,0.5284518655943881,0.008363505230105124,8.497031489981122e-05,0.033493265354807865,0.5320885245223643,w,9997
157218,C50-2435-7467,IT,3.609048181589541e-87,0.5206250260082691,0.011119867766767162,2.031757467688252e-15,0.037317497405553096,0.48457688814322447,w,11360
363914,A57-2566-1371,DZ,4.617044318482475e-05,0.5166054965353537,0.008136294127614518,0.7559910195391075,-0.17092415171560643,0.3978002765646444,w,2275
220616,B02-1308-1953,LK,8.110518193270555e-29,0.5162454804893172,0.009223365363989957,0.35786335359295374,0.003383248528980193,0.46515615442233,w,3526
1161,D05-4328-1288,PE,2.3811484239746025e-05,0.5160881433032527,0.00297793838368449,0.7138566043295698,0.1619774368182785,0.631159420289855,w,5769
33804,E46-2429-3095,AU,0.00013309682435325002,0.5156028280087311,0.00738518293893042,0.884726143239061,0.02186172886236607,0.46316505390034807,b,3116
212145,A24-3332-2777,VN,0.00018060893363243554,0.5151215658921051,0.00407900316162677,0.9999999995194736,0.055704828667889575,0.4482758620689655,b,2810
144001,A00-3353-2214,MY,0.003848692441444146,0.5144145032321947,0.012312344248753602,0.13703389571841298,-0.5542022941743312,0.03703703703703706,w,4401
235809,C25-2423-2571,GB,0.0008782070537659199,0.5112817466475884,0.006561341316040506,0.6954919027805307,0.07619779376852828,0.5202816414354876,w,6793
94874,A84-2270-2022,CU,2.0809392203779244e-14,0.5101567784335489,0.009434518271413655,0.012853031880640863,0.03860098569147944,0.46158742053201013,b,2060
30569,C00-7619-2933,AU,8.741237089930557e-07,0.5084406279392325,0.008728401348256918,0.4855292990525371,-0.14137793193535933,0.4815222957150705,w,3116
337152,C00-5288-3375,VN,0.004803299025894825,0.5058158180674712,0.0039758887796503325,0.8946172082610332,0.17445063648825787,0.6,w,2810
143267,D04-9967-6713,ES,1.220965563152191e-65,0.5001263563379736,0.015348168074888027,2.1666381084829625e-19,0.06512459466556285,0.5047526896668243,w,9997
